Year,State Name,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons)
1989,Chhattisgarh,Bastar,571.7,544.7,2.6,2.7,0.2,0.7
1990,Chhattisgarh,Bastar,579,561.9,2,2.4,0.3,1.1
1991,Chhattisgarh,Bastar,582.3,624.3,2.2,3,0.17,0.5
1992,Chhattisgarh,Bastar,584.4,533.3,1.6,2,0.37,1.3
1993,Chhattisgarh,Bastar,605.3,603.7,1.8,2.6,0.24,0.9
1994,Chhattisgarh,Bastar,609.9,604,1.6,2.4,0.3,0.9
1995,Chhattisgarh,Bastar,619,589.1,1.6,2.5,0.3,1.1
1996,Chhattisgarh,Bastar,644.1,670.5,2,3.3,0.4,1.3
1997,Chhattisgarh,Bastar,622.8,455,1.4,2.2,0.29,1
1998,Chhattisgarh,Bastar,627.1,569.8,2.4,3.8,0.3,1.2
1999,Chhattisgarh,Bastar,628.47,676.2,0,0,0.37,1.35
2000,Chhattisgarh,Bastar,628.03,523.9,1.7,2.75,0.44,0.13
2001,Chhattisgarh,Bastar,633.99,922.15,2.5,3.88,0.33,0.11
2002,Chhattisgarh,Bastar,623.9,331.38,2.09,3.76,0.32,0.09
2003,Chhattisgarh,Bastar,632.58,1042.75,2.42,3.83,0.44,0.14
2004,Chhattisgarh,Bastar,635.47,788.65,2.17,3.21,0.31,0.1
2005,Chhattisgarh,Bastar,635.47,788.65,2.17,3.21,0.31,0.1
2006,Chhattisgarh,Bastar,546.54,836.54,1.92,3.2,0.96,0.14
2007,Chhattisgarh,Bastar,626.07,927.73,1.68,3.31,1.3,0.21
2008,Chhattisgarh,Bastar,627.78,729.33,1.71,2.6,1.19,0.22
2009,Chhattisgarh,Bastar,626.66,682.46,1.64,2.95,1.03,0.34
2010,Chhattisgarh,Bastar,621.89,1184.98,1.6,3.2,1.02,0.12
2011,Chhattisgarh,Bastar,627.73,772.88,1.33,2.49,0.54,0.34
2012,Chhattisgarh,Bastar,637.8,1341.33,1.25,2.47,0.45,0.16
2013,Chhattisgarh,Bastar,642.79,1265.91,0.97,1.75,0.52,0.14
2014,Chhattisgarh,Bastar,646.7,1377.04,0.81,1.86,0.61,0.33
2015,Chhattisgarh,Bastar,644.56,664.46,0.84,1.75,0.34,0.1
2016,Chhattisgarh,Bastar,656.26,1294.97,0.67,1.53,0.9,0.2
2017,Chhattisgarh,Bastar,660.36,801.82,1.24,2.22,0.72,0.11
1966,Chhattisgarh,Raipur,717,469,6,2,0.9,2.7
1967,Chhattisgarh,Raipur,726,625,9,4,1,3.3
1968,Chhattisgarh,Raipur,731.5,630,9.5,4,1.2,4
1969,Chhattisgarh,Raipur,735.2,671.2,7.6,3.4,1,3.2
1970,Chhattisgarh,Raipur,743,898.5,7.9,4.8,1,3.3
1971,Chhattisgarh,Raipur,753.2,699.8,7.9,4.9,1,3.6
1972,Chhattisgarh,Raipur,762.1,687.9,11.4,5.7,0.9,3.6
1973,Chhattisgarh,Raipur,771.8,669.5,13.3,7.6,0.5,3.3
1974,Chhattisgarh,Raipur,770.1,415.6,13.5,7.6,0.8,2.8
1975,Chhattisgarh,Raipur,774.7,685.2,27.4,12.2,1,3.5
1976,Chhattisgarh,Raipur,775.2,578.6,21.2,8.4,0.8,3
1977,Chhattisgarh,Raipur,782.5,904,27.6,17.9,0.8,3.1
1978,Chhattisgarh,Raipur,792.7,686,20,20.5,0.6,2.3
1979,Chhattisgarh,Raipur,795,420.2,14,10,0.7,2
1980,Chhattisgarh,Raipur,812.4,724.7,16.7,19.2,0.4,1.7
1981,Chhattisgarh,Raipur,799.6,791.5,17.1,17.2,0.4,1.4
1982,Chhattisgarh,Raipur,798.9,617,16,17.4,0.4,1.3
1983,Chhattisgarh,Raipur,802.5,988.8,16.7,10.7,0.6,2.2
1984,Chhattisgarh,Raipur,804,924.3,16.4,11.9,0.3,1.3
1985,Chhattisgarh,Raipur,821.7,1304.3,17.6,12.3,0.3,1.1
1986,Chhattisgarh,Raipur,818,809,18,20,0.2,0.9
1987,Chhattisgarh,Raipur,822,1012,17,16,0.3,0.8
1988,Chhattisgarh,Raipur,827.9,850.1,19.5,13.7,0.3,0.7
1989,Chhattisgarh,Raipur,836.1,1186.1,16.4,13.1,0.3,0.9
1990,Chhattisgarh,Raipur,847.3,1155,17,18.9,0.25,0.8
1991,Chhattisgarh,Raipur,854.1,1218.8,15.1,13.7,0.26,0.8
1992,Chhattisgarh,Raipur,858.6,1382.3,16.7,16.5,0.29,0.9
1993,Chhattisgarh,Raipur,876.1,1400.1,18.9,21.8,0.27,0.8
1994,Chhattisgarh,Raipur,899.7,1303.5,18.4,22.4,0.2,0.6
1995,Chhattisgarh,Raipur,908.4,1314.9,15.9,19.5,0.3,0.9
1996,Chhattisgarh,Raipur,860.4,1448.8,14.2,16.7,0.2,0.8
1997,Chhattisgarh,Raipur,918.6,1016.2,13.5,13.2,0.2,0.6
1998,Chhattisgarh,Raipur,902,643,17.8,17.9,0.4,1
1999,Chhattisgarh,Raipur,950.21,1378.88,0,0,0.19,0.6
2000,Chhattisgarh,Raipur,889.78,461.63,8.11,10.6,0.16,0.05
2001,Chhattisgarh,Raipur,902.62,1120.82,15.61,19.63,0.11,0.03
2002,Chhattisgarh,Raipur,897.85,659.62,13.19,16.9,0.11,0.03
2003,Chhattisgarh,Raipur,912.53,1316.34,16.45,20.28,0.15,0.04
2004,Chhattisgarh,Raipur,918.33,1147.58,14.32,14.85,0.17,0.05
2005,Chhattisgarh,Raipur,918.33,1147.58,14.32,14.85,0.17,0.05
2006,Chhattisgarh,Raipur,918.39,1324.71,13.09,12.16,0.26,0.05
2007,Chhattisgarh,Raipur,956.63,1483.28,11.42,13.08,0.35,0.07
2008,Chhattisgarh,Raipur,942.24,1252.38,10.82,11.04,0.29,0.06
2009,Chhattisgarh,Raipur,928.66,1307.24,12.67,18.01,0.25,0.01
2010,Chhattisgarh,Raipur,915.4,1521.13,11.3,15.2,0.13,0.04
2011,Chhattisgarh,Raipur,958.01,1421.37,10.54,17.89,0.13,0.07
2012,Chhattisgarh,Raipur,993.68,1974.69,9.76,17.75,0.22,0.08
2013,Chhattisgarh,Raipur,1009.22,1749.21,9.21,15.86,0.23,0.08
2014,Chhattisgarh,Raipur,1034.99,2127.73,10.38,21.24,0.24,0.14
2015,Chhattisgarh,Raipur,986.91,1412.83,10.99,19.3,0.3,0.09
2016,Chhattisgarh,Raipur,1009.29,2432.48,8.8,17.95,0.34,0.07
2017,Chhattisgarh,Raipur,959.01,1520.95,14.56,23.66,0.27,0.05
1966,Chhattisgarh,Bilaspur,624,325,18,9,3,5.4
1967,Chhattisgarh,Bilaspur,624,546,19,10,3.3,5.9
1968,Chhattisgarh,Bilaspur,629.5,416,19.9,12,2.9,5.6
1969,Chhattisgarh,Bilaspur,630.5,453.5,18.8,11.4,2.9,5.7
1970,Chhattisgarh,Bilaspur,631.5,587.9,18.7,14.5,2.3,4.7
1971,Chhattisgarh,Bilaspur,633.8,564.7,22.6,14.8,2.4,4.9
1972,Chhattisgarh,Bilaspur,635.6,534,28,17.5,2.4,4.8
1973,Chhattisgarh,Bilaspur,639.3,497.5,31.6,18,1.1,4.5
1974,Chhattisgarh,Bilaspur,638.2,489.8,25.9,18.1,2.4,5.2
1975,Chhattisgarh,Bilaspur,640.8,646.5,38.1,22.1,2.2,5.3
1976,Chhattisgarh,Bilaspur,643.2,425,24.4,10.2,2.5,5.2
1977,Chhattisgarh,Bilaspur,647.2,690.4,31.9,18,3.8,8.2
1978,Chhattisgarh,Bilaspur,652.9,503.3,26.4,19.1,1,2.1
1979,Chhattisgarh,Bilaspur,654.2,217.2,12.7,6,1.2,1.8
1980,Chhattisgarh,Bilaspur,656.8,636.5,26.2,23.2,0.9,1.9
1981,Chhattisgarh,Bilaspur,658.1,581.4,23.2,18,0.4,0.9
1982,Chhattisgarh,Bilaspur,650.7,401.2,19.4,14.3,0.4,0.8
1983,Chhattisgarh,Bilaspur,662.8,666.8,21.8,15,0.9,1.9
1984,Chhattisgarh,Bilaspur,655.2,546.2,16.7,7.8,0.6,1.3
1985,Chhattisgarh,Bilaspur,661.2,910.1,20.7,16.8,0.8,1.9
1986,Chhattisgarh,Bilaspur,708,967,22,18,0.6,1.5
1987,Chhattisgarh,Bilaspur,663,716,24.4,17.5,1.3,3.2
1988,Chhattisgarh,Bilaspur,647.6,889.1,24.7,16.2,0.8,2
1989,Chhattisgarh,Bilaspur,671.5,698.5,17.4,11.5,1.4,3.3
1990,Chhattisgarh,Bilaspur,689.5,964.2,18.7,16.3,0.43,1.1
1991,Chhattisgarh,Bilaspur,690.6,895.4,17,13.6,0.85,1.7
1992,Chhattisgarh,Bilaspur,691.8,724.2,16.8,16.3,0.94,2.5
1993,Chhattisgarh,Bilaspur,698.1,943.7,20.6,19.9,0.8,2
1994,Chhattisgarh,Bilaspur,719.7,1164.4,18.8,19.9,0.6,1.6
1995,Chhattisgarh,Bilaspur,691.7,921,16.8,17.1,1.3,4.4
1996,Chhattisgarh,Bilaspur,688.3,922.9,15.3,16,1.8,5.9
1997,Chhattisgarh,Bilaspur,704.1,349.1,13.5,6.3,0.98,2.8
1998,Chhattisgarh,Bilaspur,748.99,608.38,14.74,12.46,2.13,5.83
1999,Chhattisgarh,Bilaspur,753.87,1129.43,0,0,1.84,5.24
2000,Chhattisgarh,Bilaspur,704.25,437.56,12.59,4.2,0.55,0.12
2001,Chhattisgarh,Bilaspur,711.68,1012.11,17.63,18.92,0.53,0.12
2002,Chhattisgarh,Bilaspur,704.96,617.25,17.57,18.76,0.76,0.18
2003,Chhattisgarh,Bilaspur,710.4,1011.96,20.06,20.61,0.86,0.2
2004,Chhattisgarh,Bilaspur,711.59,874.16,18.88,15.8,1.31,0.32
2005,Chhattisgarh,Bilaspur,711.59,874.16,18.88,15.8,1.31,0.32
2006,Chhattisgarh,Bilaspur,712.81,1127.18,17.57,15.69,2.3,0.32
2007,Chhattisgarh,Bilaspur,716.37,1160.03,17.38,19.05,2.99,0.4
2008,Chhattisgarh,Bilaspur,749.56,1070.95,17.54,18.05,2.63,0.38
2009,Chhattisgarh,Bilaspur,696.49,994.29,24.25,28.14,2.49,0.62
2010,Chhattisgarh,Bilaspur,705.67,1333.61,24.88,30.13,1.18,0.27
2011,Chhattisgarh,Bilaspur,749.08,1557.35,19.08,26.28,1.05,0.69
2012,Chhattisgarh,Bilaspur,747.27,1746.82,18.7,27.31,1.26,0.3
2013,Chhattisgarh,Bilaspur,726.15,1577.16,19.88,26.97,1.49,0.36
2014,Chhattisgarh,Bilaspur,728.84,1683.92,18.11,28.15,1.86,1.18
2015,Chhattisgarh,Bilaspur,731.83,1340.65,17.82,27.03,4.29,0.96
2016,Chhattisgarh,Bilaspur,727.5,1858.19,16.2,25.1,6.5,2.77
2017,Chhattisgarh,Bilaspur,727.94,1295.71,15.8,21.72,7.57,0.83
1966,Chhattisgarh,Raigarh,332,203,1,1,1.4,4.6
1967,Chhattisgarh,Raigarh,333,278,1,1,1.5,5.5
1968,Chhattisgarh,Raigarh,339.4,267,1.5,1,1.6,5.8
1969,Chhattisgarh,Raigarh,340,253.2,1.5,0.9,1.7,5.3
1970,Chhattisgarh,Raigarh,342.2,274.7,1.3,1,1.5,5.1
1971,Chhattisgarh,Raigarh,344.6,241.3,1.8,1.2,1.6,5.2
1972,Chhattisgarh,Raigarh,345.3,212.9,4.4,3.1,1.6,4.9
1973,Chhattisgarh,Raigarh,345.9,314.1,5,3.5,1.5,5
1974,Chhattisgarh,Raigarh,347.7,227.6,5,3.8,1.5,4.7
1975,Chhattisgarh,Raigarh,350.8,311.6,5.4,3.5,1.5,4.7
1976,Chhattisgarh,Raigarh,353.4,199.1,4.2,2.8,1.5,4.9
1977,Chhattisgarh,Raigarh,356.7,348.5,6.2,4.2,1.2,4.2
1978,Chhattisgarh,Raigarh,360.3,292.1,5.5,7,1.4,4.6
1979,Chhattisgarh,Raigarh,362.4,149.3,3.3,2.3,1.4,2.8
1980,Chhattisgarh,Raigarh,368,332.6,4.5,5.4,1.3,3.6
1981,Chhattisgarh,Raigarh,372.8,326.6,4.8,5.6,1,3.2
1982,Chhattisgarh,Raigarh,371,270.2,4.7,6,0.9,2.7
1983,Chhattisgarh,Raigarh,375.1,361.8,3.9,3.2,0.6,2.2
1984,Chhattisgarh,Raigarh,378.9,292.6,3,2.9,0.6,2.2
1985,Chhattisgarh,Raigarh,387.5,373.4,3.1,3.2,0.4,1.4
1986,Chhattisgarh,Raigarh,392,330,3,4,0.8,2.7
1987,Chhattisgarh,Raigarh,392,320,3,4,0.7,2.3
1988,Chhattisgarh,Raigarh,407.3,413.1,2.8,3.8,0.7,2.4
1989,Chhattisgarh,Raigarh,418.2,377.5,2.5,3.3,0.9,2.9
1990,Chhattisgarh,Raigarh,412.5,397.8,2.3,3.2,0.28,0.9
1991,Chhattisgarh,Raigarh,413.3,457.3,2.1,2.6,0.39,2.8
1992,Chhattisgarh,Raigarh,413.9,436.6,1.9,2.4,0.5,1.6
1993,Chhattisgarh,Raigarh,417.9,513.9,2.2,3.1,0.56,1.9
1994,Chhattisgarh,Raigarh,419.9,561.6,2.2,3.2,0.6,2.2
1995,Chhattisgarh,Raigarh,417.2,431.6,2.4,3.7,0.6,2.2
1996,Chhattisgarh,Raigarh,420.4,541.2,3.6,5.7,0.9,2.8
1997,Chhattisgarh,Raigarh,419.7,342.6,2.2,2.9,1.1,3.1
1998,Chhattisgarh,Raigarh,592.6,661.2,3.3,4.7,0.8,2.3
1999,Chhattisgarh,Raigarh,420.8,476,0,0,0.51,1.66
2000,Chhattisgarh,Raigarh,421,237.75,2.1,3.04,0.53,0.15
2001,Chhattisgarh,Raigarh,420.68,526.7,2.79,3.77,0.35,0.1
2002,Chhattisgarh,Raigarh,419.69,284.59,3.07,4.38,0.46,0.14
2003,Chhattisgarh,Raigarh,422.96,547.37,3.85,5.08,0.57,0.16
2004,Chhattisgarh,Raigarh,421.56,417.86,3.33,3.86,0.58,0.17
2005,Chhattisgarh,Raigarh,421.56,417.86,3.33,3.86,0.58,0.17
2006,Chhattisgarh,Raigarh,421.04,437.91,3.31,3.74,0.81,0.16
2007,Chhattisgarh,Raigarh,423.06,532.65,3.17,4.65,0.72,0.15
2008,Chhattisgarh,Raigarh,423.29,500.83,3.51,4.86,0.68,0.15
2009,Chhattisgarh,Raigarh,420.75,470.53,3.72,4.87,0.61,0.15
2010,Chhattisgarh,Raigarh,435.05,598.26,3.4,5.5,0.62,0.11
2011,Chhattisgarh,Raigarh,421.32,602.66,3.63,6.27,0.35,0.2
2012,Chhattisgarh,Raigarh,422.65,641.28,3.44,6.08,0.28,0.09
2013,Chhattisgarh,Raigarh,418.44,580.76,6.67,11.5,0.3,0.09
2014,Chhattisgarh,Raigarh,408.9,657.79,3.62,7.5,0.37,0.19
2015,Chhattisgarh,Raigarh,409.45,414.89,3.56,6.15,0.25,0.08
2016,Chhattisgarh,Raigarh,424.24,763.72,3.87,7.12,0.54,0.1
2017,Chhattisgarh,Raigarh,411.12,623.29,3.91,6.76,0.43,0.09
1966,Chhattisgarh,Surguja,284,89,2,1,0.6,1.7
1967,Chhattisgarh,Surguja,278,182,7,4,0.5,0.9
1968,Chhattisgarh,Surguja,284.3,153,5.9,3,0.6,1.8
1969,Chhattisgarh,Surguja,284.9,191.9,6.5,4.2,0.7,2.5
1970,Chhattisgarh,Surguja,288.2,195.8,6.9,5,0.7,2.4
1971,Chhattisgarh,Surguja,290.3,250.7,7.9,4.4,0.7,2.1
1972,Chhattisgarh,Surguja,294.4,150.4,10.1,6.2,0.7,2.2
1973,Chhattisgarh,Surguja,295.9,221.6,13.2,7.7,0.7,1.5
1974,Chhattisgarh,Surguja,295.6,139,12.9,8.1,0.6,1.9
1975,Chhattisgarh,Surguja,299.1,222.8,14.5,8.8,0.7,2.1
1976,Chhattisgarh,Surguja,299.6,141.5,10.9,6.2,0.7,2.2
1977,Chhattisgarh,Surguja,306.1,270.2,15.2,8.4,0.6,1.9
1978,Chhattisgarh,Surguja,311.7,204,16,15.3,0.5,1.4
1979,Chhattisgarh,Surguja,294.4,75.3,9.7,5.3,0.5,1
1980,Chhattisgarh,Surguja,308.4,247.1,13.5,13.5,0.3,1
1981,Chhattisgarh,Surguja,312.9,218.5,12,11.7,0.5,1.6
1982,Chhattisgarh,Surguja,312.8,229.7,12.1,12.4,0.4,1.2
1983,Chhattisgarh,Surguja,318.7,216.2,10.4,6.8,0.5,1.5
1984,Chhattisgarh,Surguja,329.1,219.2,16.9,13.3,0.5,1.5
1985,Chhattisgarh,Surguja,329.5,249.7,18.3,15.2,0.4,1.5
1986,Chhattisgarh,Surguja,336,256,21,24,0.5,1.7
1987,Chhattisgarh,Surguja,342,237,24,23,0.4,1.3
1988,Chhattisgarh,Surguja,353,283,18.8,19.5,0.2,0.5
1989,Chhattisgarh,Surguja,355.4,338.6,18.8,22,0.4,1.2
1990,Chhattisgarh,Surguja,351.2,417.7,20.4,25.3,0.27,0.9
1991,Chhattisgarh,Surguja,351.9,301,18.2,18,0.73,1.1
1992,Chhattisgarh,Surguja,351.2,243.9,12.9,13,0.34,0.9
1993,Chhattisgarh,Surguja,352.9,279.2,17.4,20.7,0.35,1.2
1994,Chhattisgarh,Surguja,361.5,402.3,20.1,25.8,0.3,1
1995,Chhattisgarh,Surguja,362,318.7,20.8,26.8,0.4,1.3
1996,Chhattisgarh,Surguja,370.5,391.3,21.2,27.7,0.7,2
1997,Chhattisgarh,Surguja,369.4,298.7,21.2,23.1,0.49,1.7
1998,Chhattisgarh,Surguja,373.7,273.2,21.7,26.3,1.07,1.44
1999,Chhattisgarh,Surguja,379.81,431.72,0,0,0.6,1.99
2000,Chhattisgarh,Surguja,377.94,240.59,23.47,33.31,0.71,0.22
2001,Chhattisgarh,Surguja,384.88,513.26,25,33.18,1.03,0.33
2002,Chhattisgarh,Surguja,377.85,257.13,23.69,29.71,0.89,0.27
2003,Chhattisgarh,Surguja,383.94,503.4,25.36,29.24,1.14,0.36
2004,Chhattisgarh,Surguja,380.93,374.25,24.13,24.32,1.27,0.37
2005,Chhattisgarh,Surguja,380.93,374.25,24.13,24.32,1.27,0.37
2006,Chhattisgarh,Surguja,383.16,403.92,24.39,23.79,3.36,0.48
2007,Chhattisgarh,Surguja,380.88,435.45,24.07,30.09,4.15,0.7
2008,Chhattisgarh,Surguja,382.59,449.93,24.81,29.68,3.66,0.57
2009,Chhattisgarh,Surguja,376,270.74,24.47,26.84,3.14,0.76
2010,Chhattisgarh,Surguja,371.28,399.46,23.98,27.45,2.1,0.6
2011,Chhattisgarh,Surguja,377.14,530.08,25.29,32.02,2.01,1.2
2012,Chhattisgarh,Surguja,373.71,610.07,25.21,41.92,2.04,0.68
2013,Chhattisgarh,Surguja,371.71,633.47,26.77,41.33,2.74,0.79
2014,Chhattisgarh,Surguja,381.43,687.04,26.02,43.61,3.62,2.35
2015,Chhattisgarh,Surguja,369.32,440.9,23.87,33.51,2.82,0.89
2016,Chhattisgarh,Surguja,376.38,652.25,23.63,37.56,4.58,0.62
2017,Chhattisgarh,Surguja,377.07,524.07,23.18,37.09,6,1.75
1966,Madhya Pradesh,Jabalpur,119,21,84,39,0.4,0.7
1967,Madhya Pradesh,Jabalpur,120,67,133,71,0.4,0.7
1968,Madhya Pradesh,Jabalpur,124,45,128.8,64,0.5,0.9
1969,Madhya Pradesh,Jabalpur,127.9,62.3,141.7,76.6,0.5,1.1
1970,Madhya Pradesh,Jabalpur,126.8,82.5,150.2,100.3,0.6,1.1
1971,Madhya Pradesh,Jabalpur,129.3,92.5,164.3,103.1,0.6,2.6
1972,Madhya Pradesh,Jabalpur,129.6,57,160.4,94,0.6,1.1
1973,Madhya Pradesh,Jabalpur,118.4,62.9,152.9,116.4,0.6,1.1
1974,Madhya Pradesh,Jabalpur,118.4,38.6,128,67.6,0.6,1.2
1975,Madhya Pradesh,Jabalpur,123.3,93.6,159.2,124.7,0.5,1.3
1976,Madhya Pradesh,Jabalpur,126.6,61.7,139.9,61.2,0.5,1.2
1977,Madhya Pradesh,Jabalpur,129.9,117,168,97.1,0.3,0.8
1978,Madhya Pradesh,Jabalpur,135.8,95.2,180.8,124.3,0.3,0.6
1979,Madhya Pradesh,Jabalpur,134.7,1.7,123.2,45.6,0.3,0.5
1980,Madhya Pradesh,Jabalpur,132.2,66.1,184.7,144.7,0.2,0.4
1981,Madhya Pradesh,Jabalpur,127.9,43,146.2,75,0.2,0.4
1982,Madhya Pradesh,Jabalpur,114.6,55,139.5,99.6,0.2,0.5
1983,Madhya Pradesh,Jabalpur,125.9,84.6,165.2,181.4,0.4,1
1984,Madhya Pradesh,Jabalpur,125.9,43.1,159.5,125.1,0.2,0.4
1985,Madhya Pradesh,Jabalpur,133.6,101.8,183.4,129.2,0.1,0.3
1986,Madhya Pradesh,Jabalpur,127,24,121,80,0.1,0.2
1987,Madhya Pradesh,Jabalpur,113,68,156,146,0.1,0.3
1988,Madhya Pradesh,Jabalpur,132,78.8,154.8,161.5,0.1,0.2
1989,Madhya Pradesh,Jabalpur,126,58.9,127.4,113.8,0.1,0.3
1990,Madhya Pradesh,Jabalpur,135.5,111.8,166.3,167.9,0.07,0.2
1991,Madhya Pradesh,Jabalpur,138.4,75,143.5,134,0.09,0.2
1992,Madhya Pradesh,Jabalpur,144.8,95.4,161.2,194.9,0.07,0.1
1993,Madhya Pradesh,Jabalpur,147.3,100.2,170.7,200.4,0.06,0.1
1994,Madhya Pradesh,Jabalpur,149,113,165.6,215.5,0.1,0.1
1995,Madhya Pradesh,Jabalpur,152.4,112.6,149.3,182,0,0.1
